gameid,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
1002390182,Top,Letme,Royal Never Give Up,Cho'gath,Gragas,Xayah,Alistar,Taliyah,Lucian,38.75,1,3,0,6,13,3,0,0,0,0,0,0,0,1.731216667,0.077419355,0.0,0.412903226,0,11.98481667,1,3,1,0,0,0,0,1,0,0,1.0,-1.0,1,17.66406667,1,1,11,3,1.0,32.74796667,1,0,20167,520.4387097,0.239564277,0.201311802,21,0.541935484,0.16935483899999998,2,0.051612902999999995,4,4, , ,15495,270.8851613,14200,0.166285278,328,11,2,3,8.748387097,3114,3225,-111,4986,4903,83,4493,4817,-324
1002390182,Jungle,Mlxg,Royal Never Give Up,Rek'Sai,Gragas,Xayah,Alistar,Taliyah,Lucian,38.75,1,4,2,5,13,3,0,0,0,0,0,0,1,1.731216667,0.10322580599999999,0.051612902999999995,0.412903226,0,11.98481667,1,3,0,2,0,0,0,0,0,0,1.0,-1.0,1,17.66406667,1,1,11,3,1.0,32.74796667,1,0,16362,422.2451613,0.194364591,0.175536036,25,0.64516129,0.201612903,8,0.206451613,9,10, , ,14151,236.20129029999998,13125,0.160493827,20,164,100,17,4.748387097,2944,3560,-616,5052,5266,-214,3378,3686,-308
1002390182,Middle,Xiaohu,Royal Never Give Up,Ryze,Gragas,Xayah,Alistar,Taliyah,Lucian,38.75,1,3,0,8,13,3,0,0,0,0,0,0,0,1.731216667,0.077419355,0.025806452,0.412903226,0,11.98481667,1,3,0,0,0,0,0,0,0,0,1.0,-1.0,1,17.66406667,1,1,11,3,1.0,32.74796667,1,0,19148,494.14193550000005,0.227459552,0.221966936,18,0.464516129,0.14516129,14,0.36129032299999997,10,10, , ,16572,298.6787097,15300,0.135380321,348,14,12,2,9.341935484,3113,3623,-510,5275,5322,-47,4478,5053,-575
1002390182,ADC,Uzi,Royal Never Give Up,Kog'Maw,Gragas,Xayah,Alistar,Taliyah,Lucian,38.75,1,3,1,4,13,3,0,0,0,0,0,0,0,1.731216667,0.077419355,0.0,0.412903226,0,11.98481667,1,3,0,1,0,0,0,0,0,0,1.0,-1.0,1,17.66406667,1,1,11,3,1.0,32.74796667,1,0,25549,659.3290323,0.303497185,0.24106862,15,0.387096774,0.12096774199999999,13,0.335483871,2,2, , ,17568,324.3819355,16150,0.11629811599999999,361,40,15,7,10.3483871,3035,3205,-170,4884,5105,-221,3192,3336,-144
1002390182,Support,Ming,Royal Never Give Up,Janna,Gragas,Xayah,Alistar,Taliyah,Lucian,38.75,1,0,0,11,13,3,0,0,0,0,0,0,0,1.731216667,0.0,0.0,0.412903226,0,11.98481667,1,3,0,0,0,0,0,0,0,0,1.0,-1.0,1,17.66406667,1,1,11,3,1.0,32.74796667,1,0,2956,76.28387097,0.035114395,0.160116605,45,1.161290323,0.362903226,6,0.15483871,9,10, , ,13347,215.45290319999995,11850,0.24911032,10,0,0,0,0.258064516,2279,2307,-28,3528,3403,125,2742,2795,-53
1002390182,Top,Thaldrin,Fenerbahce Esports,Maokai,Kalista,Jarvan IV,Sejuani,Shen,Galio,38.75,0,0,4,0,3,13,0,0,0,0,0,0,0,1.731216667,0.0,0.077419355,0.412903226,0,11.98481667,3,1,0,1,0,0,0,0,0,0,0.0,-1.0,0,17.66406667,0,0,3,11,0.0,32.74796667,0,1,16785,433.1612903,0.225844647,0.182888042,20,0.516129032,0.172413793,4,0.10322580599999999,2,2, , ,12439,192.0206452,12020,-0.166285278,312,0,0,0,8.051612902999999,3225,3114,111,4903,4986,-83,4817,4493,324
1002390182,Jungle,Crash,Fenerbahce Esports,Nidalee,Kalista,Jarvan IV,Sejuani,Shen,Galio,38.75,0,2,3,1,3,13,0,0,0,0,1,0,0,1.731216667,0.051612902999999995,0.10322580599999999,0.412903226,1,11.98481667,3,1,2,0,1,0,0,1,0,0,0.0,-1.0,0,17.66406667,0,0,3,11,0.0,32.74796667,0,1,9474,244.49032259999998,0.127474065,0.183895785,25,0.64516129,0.21551724100000003,22,0.567741935,6,6, , ,12480,193.0787097,11175,-0.160493827,51,168,105,1,5.651612902999999,3560,2944,616,5266,5052,214,3686,3378,308
1002390182,Middle,Frozen,Fenerbahce Esports,Syndra,Kalista,Jarvan IV,Sejuani,Shen,Galio,38.75,0,1,3,2,3,13,0,0,0,0,0,1,0,1.731216667,0.025806452,0.077419355,0.412903226,0,11.98481667,3,1,0,0,0,0,0,0,0,0,0.0,-1.0,0,17.66406667,0,0,3,11,0.0,32.74796667,0,1,20222,521.8580645,0.272089988,0.244458646,11,0.283870968,0.09482758599999999,2,0.051612902999999995,4,4, , ,14944,256.6658065,13360,-0.135380321,384,16,8,0,10.32258065,3623,3113,510,5322,5275,47,5053,4478,575
1002390182,ADC,Padden,Fenerbahce Esports,Tristana,Kalista,Jarvan IV,Sejuani,Shen,Galio,38.75,0,0,1,2,3,13,0,0,0,0,0,1,0,1.731216667,0.0,0.077419355,0.412903226,0,11.98481667,3,1,1,0,0,0,0,1,0,0,0.0,-1.0,0,17.66406667,0,0,3,11,0.0,32.74796667,0,1,25393,655.3032258,0.341666555,0.269627627,11,0.283870968,0.09482758599999999,12,0.309677419,1,1, , ,15968,283.0916129,14375,-0.11629811599999999,401,12,11,0,10.65806452,3205,3035,170,5105,4884,221,3336,3192,144
1002390182,Support,Japone,Fenerbahce Esports,Lulu,Kalista,Jarvan IV,Sejuani,Shen,Galio,38.75,0,0,2,2,3,13,0,0,0,0,0,1,0,1.731216667,0.0,0.0,0.412903226,0,11.98481667,3,1,0,0,0,0,0,0,0,0,0.0,-1.0,0,17.66406667,0,0,3,11,0.0,32.74796667,0,1,2447,63.1483871,0.032924745,0.1191299,49,1.264516129,0.422413793,12,0.309677419,8,9, , ,9845,125.0787097,9225,-0.24911032,49,0,0,0,1.264516129,2307,2279,28,3403,3528,-125,2795,2742,53
