,a,a,a,a,a,a,a,a,ckpm,ckpm,ckpm,ckpm,ckpm,ckpm,ckpm,ckpm,d,d,d,d,d,d,d,d,dmgshare,dmgshare,dmgshare,dmgshare,dmgshare,dmgshare,dmgshare,dmgshare,earnedgoldshare,earnedgoldshare,earnedgoldshare,earnedgoldshare,earnedgoldshare,earnedgoldshare,earnedgoldshare,earnedgoldshare,earnedgpm,earnedgpm,earnedgpm,earnedgpm,earnedgpm,earnedgpm,earnedgpm,earnedgpm,fb,fb,fb,fb,fb,fb,fb,fb,fbassist,fbassist,fbassist,fbassist,fbassist,fbassist,fbassist,fbassist,fbvictim,fbvictim,fbvictim,fbvictim,fbvictim,fbvictim,fbvictim,fbvictim,gameid,gameid,gameid,gameid,gameid,gameid,gameid,gameid,gdat10,gdat10,gdat10,gdat10,gdat10,gdat10,gdat10,gdat10,gdat15,gdat15,gdat15,gdat15,gdat15,gdat15,gdat15,gdat15,k,k,k,k,k,k,k,k
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bdd,6.0,7.333333333333333,3.011090610836324,4.0,5.25,6.5,10.0,11.0,6.0,0.6332540288333334,0.2251989977082644,0.239616613,0.54722688825,0.7121934155,0.7855103665000001,0.833333333,6.0,0.6666666666666666,0.816496580927726,0.0,0.0,0.5,1.0,2.0,6.0,0.22991544049999998,0.03330714246172845,0.199435545,0.20357362499999998,0.2182491335,0.2573619475,0.27447749,6.0,0.22336054083333332,0.010682908961460366,0.208352293,0.21557397875,0.2284215645,0.22962871374999996,0.233645276,6.0,307.7807535,21.370357226901852,269.4594249,302.996844325,311.61793535000004,320.7809013000001,330.0308548,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.5163977794943223,0.0,0.0,0.0,0.75,1.0,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,1002383644.6666666,5182.82890578752,1002380208.0,1002380325.0,1002380334.0,1002387735.0,1002390468.0,6.0,52.166666666666664,209.93467237849651,-148.0,-103.5,5.0,138.25,408.0,6.0,216.0,505.03980041180915,-221.0,-17.0,105.0,144.5,1207.0,6.0,3.6666666666666665,3.0767948691238205,0.0,2.25,3.0,4.5,9.0
Bjergsen,6.0,4.333333333333333,2.9439202887759492,2.0,2.5,4.0,4.0,10.0,6.0,0.5590474293333333,0.2182091468216738,0.277863538,0.3948410015,0.5954791749999999,0.67238441475,0.859481583,6.0,1.6666666666666667,1.2110601416389966,0.0,1.0,1.5,2.75,3.0,6.0,0.2913578025,0.06264198318705005,0.24089116600000002,0.25815675775,0.26909039999999995,0.29366407925,0.41270733299999995,6.0,0.23929291333333336,0.019603979071501482,0.212151012,0.22870321575,0.2372963825,0.25246002025000003,0.26566031,6.0,265.1864628833333,54.44618258246264,210.814876,220.76086937500003,251.9190827,313.41940245,332.1714286,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1002383707.6666666,5184.746692623147,1002380186.0,1002380413.5,1002380424.5,1002387870.25,1002390449.0,6.0,52.0,154.8276461101182,-108.0,-48.5,-3.5,158.5,278.0,6.0,-196.33333333333334,361.48729807099267,-768.0,-363.0,-143.5,13.75,247.0,6.0,2.3333333333333335,2.250925735484551,0.0,1.0,1.5,3.5,6.0
Caps,6.0,3.6666666666666665,2.6583202716502514,0.0,3.0,3.0,4.5,8.0,6.0,0.633753931,0.3960065391979186,0.239616613,0.3996911465,0.567488212,0.6822735982500001,1.363636364,6.0,2.0,1.2649110640673518,1.0,1.0,1.5,2.75,4.0,6.0,0.29396116116666665,0.08039799509328094,0.191617357,0.2507658295,0.27838198599999997,0.33753800800000006,0.41656851200000006,6.0,0.23141377716666667,0.026402634947711005,0.188071673,0.2216169045,0.2336024485,0.24854439725,0.262059323,6.0,256.22890646666673,39.53573666858169,210.17827480000003,232.998778025,252.3380047,267.81468337499996,322.9932092,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.6666666666666666,0.5163977794943223,0.0,0.25,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1002383645.3333334,5186.1460707028555,1002380204.0,1002380324.75,1002380333.0,1002387742.25,1002390468.0,6.0,207.16666666666666,364.83169635691837,-304.0,57.25,210.5,289.5,804.0,6.0,86.33333333333333,316.7975168252849,-178.0,-107.5,-88.0,312.5,540.0,6.0,1.8333333333333333,1.9407902170679516,0.0,0.25,1.5,2.75,5.0
Chawy,2.0,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0,2.0,0.4232141835,0.0955773078382772,0.35563082100000004,0.38942250225,0.4232141835,0.45700586475,0.490797546,2.0,1.5,0.7071067811865476,1.0,1.25,1.5,1.75,2.0,2.0,0.17635039200000002,0.12461704984943853,0.088232831,0.13229161150000002,0.17635039200000002,0.22040917250000003,0.26446795300000003,2.0,0.2396225575,0.011068040511317425,0.23179627100000003,0.23570941425000003,0.2396225575,0.24353570074999997,0.24744884399999997,2.0,227.53324085,10.241783196941839,220.2912065,223.91222367499998,227.53324085,231.154258025,234.7752752,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.7071067811865476,0.0,0.25,0.5,0.75,1.0,2.0,1002385444.0,7018.741910057671,1002380481.0,1002382962.5,1002385444.0,1002387925.5,1002390407.0,2.0,-119.5,904.3895731375943,-759.0,-439.25,-119.5,200.25,520.0,2.0,-523.0,1329.3607486307094,-1463.0,-993.0,-523.0,-53.0,417.0,2.0,1.0,1.4142135623730951,0.0,0.5,1.0,1.5,2.0
Crown,6.0,3.5,3.449637662132068,0.0,2.0,2.5,3.75,10.0,6.0,0.45024561733333335,0.09012897924236767,0.353920888,0.36952211825000003,0.45268088100000003,0.51748672375,0.561299852,6.0,1.5,1.51657508881031,0.0,0.25,1.5,2.0,4.0,6.0,0.2531472261666667,0.0785039345805664,0.149435615,0.20662972224999998,0.2405361995,0.31718769675,0.350309584,6.0,0.214567148,0.027482282156825535,0.18475666699999999,0.189869219,0.216399231,0.23583258925,0.246511502,6.0,260.82423028333335,38.16888162431533,225.2227328,233.75149570000002,259.9360402,263.633203,329.9616637000001,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1002385359.1666666,5470.530483112828,1002380358.0,1002380367.5,1002385283.0,1002390338.75,1002390478.0,6.0,53.166666666666664,409.44665912260984,-265.0,-145.5,-49.0,-17.0,866.0,6.0,-240.66666666666666,299.52339919723573,-821.0,-238.25,-152.5,-88.5,16.0,6.0,2.0,1.6733200530681511,0.0,1.25,2.0,2.0,5.0
Faker,6.0,6.0,3.3466401061363023,0.0,5.25,6.5,8.5,9.0,6.0,0.4910668773333333,0.1307427680650433,0.35563082100000004,0.38372698325,0.464777598,0.6037872415000001,0.654381346,6.0,2.1666666666666665,1.7224014243685084,0.0,1.25,2.0,2.75,5.0,6.0,0.2791797765,0.08211312960228309,0.142951137,0.25262667075,0.28833551749999997,0.3185088265,0.386166169,6.0,0.2232410905,0.01629575458660947,0.206868062,0.2095087275,0.220644712,0.23745612724999998,0.242432392,6.0,280.80202175000005,33.490967739864885,256.6121739,258.76914880000004,264.425171,292.578408825,340.5029851000001,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.3333333333333333,0.5163977794943223,0.0,0.0,0.0,0.75,1.0,6.0,1002385432.6666666,5514.796847270683,1002380220.0,1002380488.75,1002385361.5,1002390361.0,1002390761.0,6.0,-304.0,508.99430252214023,-997.0,-488.25,-375.0,-163.5,542.0,6.0,-258.1666666666667,1041.370331182268,-2010.0,-489.0,-296.0,386.0,993.0,6.0,2.6666666666666665,1.2110601416389966,1.0,2.0,2.5,3.75,4.0
Frozen,6.0,2.3333333333333335,1.7511900715418265,0.0,1.25,2.5,3.0,5.0,6.0,0.4572465486666666,0.14328912501900445,0.249609984,0.3686664725,0.47413803750000005,0.55481810125,0.630372493,6.0,2.6666666666666665,1.632993161855452,0.0,2.25,3.0,3.0,5.0,6.0,0.26804903183333334,0.04776278155795546,0.182022199,0.25926368825,0.2754040465,0.29596592625,0.318760444,6.0,0.23904020350000002,0.010144004438433706,0.221478389,0.23483780325,0.24322532749999998,0.24611335750000002,0.247194181,6.0,241.344886,36.628558452681624,201.9518164,211.68262334999997,243.8125761,254.61568725,299.302984,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.3333333333333333,0.5163977794943223,0.0,0.0,0.0,0.75,1.0,6.0,1002385355.3333334,5467.10009663868,1002380358.0,1002380367.5,1002385277.0,1002390327.5,1002390478.0,6.0,-56.0,473.9658215525672,-866.0,-192.0,-2.5,209.5,510.0,6.0,1.5,472.8343261650956,-583.0,-240.0,-15.5,83.75,821.0,6.0,1.3333333333333333,1.2110601416389968,0.0,0.25,1.5,2.0,3.0
Jensen,6.0,3.5,1.51657508881031,2.0,2.25,3.5,4.0,6.0,6.0,0.5426069008333333,0.15198643753313515,0.3726708070000001,0.45681686850000003,0.503049017,0.6037872415000001,0.798099762,6.0,2.0,1.4142135623730951,0.0,1.25,2.0,2.75,4.0,6.0,0.24682739116666666,0.040319556487457595,0.18220205899999997,0.2419621105,0.2479757745,0.25241578625000005,0.308957393,6.0,0.2380486203333333,0.007136800897247974,0.230974066,0.23211594849999997,0.2366463465,0.24311239550000002,0.248151402,6.0,282.11064700000003,46.92061338765844,229.7567164,242.83453759999998,281.90003475000003,311.93167705,347.3521664,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1002383718.3333334,5115.449488233332,1002380216.0,1002380475.25,1002380490.5,1002387791.25,1002390418.0,6.0,222.0,491.55142152169594,-542.0,-27.75,330.0,468.75,846.0,6.0,81.66666666666667,944.2931042142935,-993.0,-567.75,-77.5,649.0,1478.0,6.0,3.5,1.6431676725154984,2.0,2.25,3.0,4.5,6.0
